Disease,AUROC
Cardiomegaly,0.8108994104852967
Emphysema,0.8528835407087781
Effusion,0.7799525822029676
Hernia,0.8237590365839205
Infiltration,0.6201989570446309
Mass,0.7631475556096314
Nodule,0.6945910010334845
Atelectasis,0.6991053991870145
Pneumothorax,0.7961040229751986
Pleural_Thickening,0.6975172683834101
Pneumonia,0.621987795870628
Fibrosis,0.7281594805315835
Edema,0.7675267931382397
Consolidation,0.6603294896045794
